position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
822,Mystic Legacy: The Great Ring,PC,Big Fish Games  ,Big Fish Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,25th Feb 15  ,22nd Sep 18
823,Paint by DS,DS,Mercury Games  ,Ertain  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,22nd Feb 08  ,N/A
824,Knockout Party,Wii,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,06th Nov 09  ,N/A
825,Real Crimes: Jack the Ripper,PC,Virtual Playground  ,Virtual Playground  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,01st Jan 10  ,N/A
826,Simple DS Series Vol. 44: The Gal Mahjong,DS,D3 Publisher  ,"Affect Co., Ltd.  ",N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,N/A,0.00m,N/A,25th Sep 08  ,N/A
827,Super Bubble Pop,GBA,Jaleco  ,Runecraft  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,0.00m,0.00m,N/A,0.00m,03rd Jan 03  ,N/A
828,Crazy Machines 2,DS,DTP Entertainment  ,FAKT Software GmBH  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,16th Oct 09  ,N/A
829,7 Wonders II,PC,Mumbo Jumbo  ,Hot Lava Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,14th Aug 07  ,N/A
830,Jelly Belly: Ballistic Beans,DS,Zoo Digital Publishing  ,Blue Monkey Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,21st Apr 09  ,N/A
831,Chronicles of Mystery: The Tree of Life,PC,City Interactive  ,City Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,10th Dec 09  ,N/A
832,Jewel Quest The Sapphire Dragon,3DS,Tulip Games  ,Engine Software  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,29th Jan 15  ,02nd May 19
833,Mystery Masterpiece: The Moonstone,PC,Big Fish Games  ,Big Fish Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,01st Aug 09  ,N/A
834,The Great Unknown: Houdini's Castle,PC,Big Fish Games  ,Black Lime Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,19th Nov 14  ,22nd Sep 18
