position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
21,James Bond,Series,Parker Bros.  ,Richard Shepherd Software  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 83  ,08th Mar 20
22,The Legend of Zelda: Breath of the Wild,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,10.0  ,29.00m,N/A,N/A,N/A,N/A,N/A,03rd Mar 17  ,19th Nov 18
23,Grand Theft Auto: San Andreas,All,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,27.50m,N/A,N/A,N/A,N/A,N/A,26th Oct 04  ,13th Oct 20
24,Grand Theft Auto IV,All,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,02nd Dec 08  ,13th Oct 20
25,Batman: Arkham,Series,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,N/A  ,N/A  ,N/A  ,24.81m,N/A,N/A,N/A,N/A,N/A,25th Aug 09  ,12th Mar 20
26,Yakuza,Series,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,22.73m,N/A,N/A,N/A,N/A,N/A,05th Sep 06  ,02nd Mar 20
27,Teenage Mutant Ninja Turtles,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,22.60m,N/A,N/A,N/A,N/A,N/A,12th May 89  ,16th Mar 20
28,Luigi's Mansion,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,22.24m,N/A,N/A,N/A,N/A,N/A,18th Nov 01  ,20th Feb 20
29,SpongeBob SquarePants,Series,THQ  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,22.00m,N/A,N/A,N/A,N/A,N/A,15th Mar 01  ,07th Mar 20
30,Castlevania,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,21.63m,N/A,N/A,N/A,N/A,N/A,26th Sep 86  ,03rd Mar 20
31,The Lord of the Rings,Series,Melbourne House  ,Beam Software  ,N/A  ,N/A  ,N/A  ,20.17m,N/A,N/A,N/A,N/A,N/A,01st Nov 82  ,09th Mar 20
32,Dying Light,All,Warner Bros. Interactive Entertainment  ,Techland  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,27th Jan 15  ,22nd Jul 21
33,Elden Ring,All,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,25th Feb 22  ,28th Feb 22
34,Gundam,Series,Bandai  ,Banpresto  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,02nd May 97  ,08th Mar 20
35,Horizon,Series,Sony Interactive Entertainment  ,Guerrilla Games  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 17  ,24th Sep 20
36,Horizon: Zero Dawn,All,Sony Interactive Entertainment  ,Guerrilla Games  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 17  ,11th Feb 22
37,Marvel's Spider-Man,PS4,Sony Interactive Entertainment  ,Insomniac Games  ,8.0  ,9.1  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 18  ,26th Sep 18
38,Prince of Persia,Series,Ubisoft  ,Broderbund  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,03rd Aug 89  ,09th Feb 20
