position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
5231,ACA NEOGEO STAKES WINNER,PS4,Hamster Corporation  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Jun 18  ,05th Aug 18
5232,ACA NEOGEO STAKES WINNER,XOne,Hamster Corporation  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd May 18  ,05th Aug 18
5233,ACA NEOGEO STAKES WINNER,NS,Hamster Corporation  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd May 18  ,05th Aug 18
5234,ACA NEOGEO STREET HOOP,NS,Hamster Corporation  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 17  ,04th Apr 18
5235,ACA NEOGEO STREET HOOP,PS4,Hamster Corporation  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 17  ,04th Apr 18
5236,ACA NEOGEO STREET HOOP,XOne,Hamster Corporation  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 17  ,04th Apr 18
5237,ACA NEOGEO SUPER SIDEKICKS,XOne,Hamster Corporation  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jul 17  ,03rd Apr 18
5238,ACA NEOGEO SUPER SIDEKICKS,PS4,Hamster Corporation  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Jul 17  ,03rd Apr 18
5239,ACA NEOGEO SUPER SIDEKICKS,NS,Hamster Corporation  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jul 17  ,03rd Apr 18
5240,ACA NEOGEO SUPER SIDEKICKS 2,NS,Hamster Corporation  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th May 18  ,05th Aug 18
